clientes;status;genero;compras;regiao;pagto;qtde;pedido;amostras
427;0;0;3;0;1;1;300;Teste
428;1;0;2;0;1;5;1000;Teste
429;1;0;2;1;1;2;600;Treino
430;1;0;3;0;1;7;2000;Teste
431;0;0;2;0;1;1;300;Teste
432;0;0;2;0;1;1;300;Teste
433;0;0;1;0;1;1;100;Treino
434;0;0;8;0;1;2;800;Treino
435;0;0;1;0;1;1;300;Treino
436;0;0;2;0;1;1;400;Teste
437;1;0;1;0;1;1;200;Treino
438;1;0;3;0;1;1;200;Teste
439;0;0;1;1;1;2;500;Treino
440;0;0;4;0;1;1;600;Treino
441;1;0;1;0;1;1;100;Treino
442;1;0;3;0;1;3;600;Treino
443;0;0;4;0;1;2;300;Treino
444;0;0;1;1;1;1;100;Treino
445;0;0;1;1;1;1;400;Treino
446;1;0;4;0;1;2;900;Teste
447;0;0;1;0;1;1;200;Treino
448;1;0;1;1;1;1;90;Teste
449;1;0;2;0;1;1;500;Teste
450;0;0;1;0;1;3;500;Treino
451;1;0;8;0;1;4;900;Treino
452;0;0;1;0;1;1;500;Teste
453;0;0;1;0;1;1;400;Teste
454;1;0;1;0;1;2;500;Treino
455;0;0;1;0;1;3;300;Treino
456;1;0;8;0;1;5;1000;Teste
457;0;0;1;0;1;1;400;Treino
458;0;0;1;1;1;1;100;Treino
459;0;0;1;1;0;1;300;Teste
460;1;0;4;1;1;1;200;Treino
461;1;0;6;1;1;1;100;Teste
462;1;0;1;0;1;30;10000;Treino
463;0;0;1;0;1;5;500;Teste
464;0;0;1;1;1;3;600;Teste
465;1;0;1;1;1;1;100;Treino
466;1;0;2;0;1;1;400;Teste
467;1;0;1;0;1;1;100;Treino
468;0;0;1;1;1;1;200;Teste
469;0;0;1;0;1;2;200;Treino
470;1;0;6;1;1;1;100;Treino
471;1;0;2;0;1;1;400;Treino
472;1;0;9;0;1;2;200;Teste
473;0;0;1;0;1;1;100;Teste
474;0;0;9;0;1;2;200;Treino
475;1;0;2;1;1;1;100;Treino
476;0;0;1;0;1;1;300;Teste
477;1;0;2;0;1;1;100;Teste
478;0;0;1;1;1;1;100;Teste
479;0;0;1;1;1;1;800;Teste
480;0;0;1;0;1;1;100;Teste
481;0;0;1;0;1;1;400;Teste
482;0;0;7;0;1;1;100;Teste
483;0;0;1;0;1;1;600;Treino
484;1;0;1;1;1;3;800;Treino
485;0;0;2;1;1;1;100;Treino
486;0;0;1;0;1;1;100;Treino
487;1;0;2;1;1;1;100;Treino
488;0;0;2;1;1;1;300;Teste
489;0;0;1;1;1;8;1000;Teste
490;0;0;1;0;1;1;100;Treino
491;1;0;2;0;1;1;100;Treino
492;1;0;2;0;0;2;200;Treino
493;0;1;2;1;1;1;200;Treino
494;0;0;5;1;1;2;500;Treino
495;1;0;2;0;0;2;200;Treino
496;0;0;1;1;1;1;100;Teste
497;0;1;1;0;1;1;400;Teste
498;0;0;1;0;1;1;100;Treino
499;1;0;3;0;1;7;2000;Treino
500;0;0;1;0;1;1;100;Treino
501;0;0;1;0;1;1;100;Treino
502;0;0;2;1;0;1;300;Teste
503;0;0;2;0;1;1;300;Teste
504;0;0;2;0;1;2;200;Treino
505;0;0;1;0;1;1;100;Teste
506;1;0;1;0;1;4;1000;Treino
507;0;0;1;0;1;7;600;Teste
508;0;1;2;0;1;1;600;Treino
509;0;0;1;0;1;9;1000;Treino
510;1;0;3;0;1;3;600;Teste
511;0;0;4;0;1;1;100;Treino
512;0;0;2;0;1;1;100;Treino
513;0;0;1;0;1;1;200;Teste
514;0;0;1;0;1;1;300;Treino
515;0;0;6;1;1;4;1000;Treino
516;0;0;2;0;1;1;200;Teste
517;0;0;1;0;1;1;300;Treino
518;0;0;1;0;1;1;300;Teste
519;0;0;1;1;1;2;500;Teste
520;1;0;2;0;1;1;300;Teste
521;0;0;1;0;1;1;300;Teste
522;0;0;1;0;1;1;300;Teste
523;0;0;1;1;1;1;100;Teste
524;1;0;1;1;0;1;400;Teste
525;0;0;1;1;1;3;400;Treino
526;0;0;1;0;1;1;500;Treino
527;0;0;2;1;1;1;200;Teste
528;1;0;1;0;1;2;1000;Treino
529;0;0;2;0;1;1;100;Teste
530;0;0;2;0;1;1;400;Treino
531;0;0;1;0;1;1;100;Treino
532;0;0;2;0;1;1;300;Treino
533;0;0;1;1;1;1;100;Teste
534;1;0;2;0;1;1;100;Treino
535;0;0;1;0;1;2;100;Teste
536;0;0;2;1;1;2;300;Treino
537;0;1;1;1;1;1;200;Treino
538;0;0;2;1;1;1;200;Treino
539;0;0;6;1;1;1;100;Treino
540;0;0;1;0;1;1;500;Teste
541;0;0;2;0;1;1;100;Treino
542;0;0;3;0;1;2;300;Teste
543;0;0;1;0;1;3;400;Treino
544;0;0;1;0;1;1;1000;Teste
545;0;0;1;0;1;1;100;Treino
546;0;0;1;1;1;1;300;Teste
547;0;0;3;0;1;1;200;Treino
548;0;0;1;0;1;7;3000;Treino
549;0;0;2;1;1;1;300;Teste
550;0;0;2;1;1;1;300;Teste
551;0;0;1;0;1;1;400;Teste
552;0;0;1;1;1;3;200;Treino
553;0;0;2;0;1;1;500;Teste
554;0;0;4;1;1;2;200;Treino
555;0;0;1;0;1;1;300;Treino
556;0;0;1;0;1;1;200;Treino
557;0;0;1;0;1;7;2000;Treino
558;0;0;4;0;1;2;400;Treino
559;0;0;1;0;1;1;300;Teste
560;1;0;3;1;0;1;400;Teste
561;1;0;9;0;1;1;100;Treino
562;0;0;4;0;1;1;200;Treino
563;0;0;1;1;1;9;1000;Treino
564;0;0;1;0;1;1;300;Teste
565;0;0;2;0;1;1;300;Treino
566;0;0;2;0;1;1;100;Teste
567;1;0;9;0;1;1;100;Treino
568;0;0;1;0;1;2;600;Teste
569;0;0;4;1;1;2;200;Treino
570;0;0;9;0;1;1;100;Treino
571;0;0;1;0;1;1;200;Teste
572;0;0;14;0;1;1;200;Treino
573;0;0;1;0;1;1;100;Treino
574;0;0;1;1;1;1;100;Teste
575;0;0;4;1;1;1;200;Teste
576;0;0;1;0;1;1;300;Treino
577;0;0;1;0;1;1;100;Teste
578;0;0;1;0;1;1;100;Teste
579;0;0;3;1;1;1;300;Teste
580;0;0;1;0;1;4;2000;Teste
581;0;0;2;1;1;1;600;Teste
582;0;0;1;0;1;1;300;Treino
583;1;1;1;1;0;1;400;Teste
584;0;0;3;1;1;1;500;Treino
585;0;0;1;1;1;2;300;Teste
586;0;0;1;0;1;2;400;Teste
587;0;0;1;0;1;2;100;Treino
588;0;0;2;1;1;1;90;Treino
589;0;0;1;1;1;1;100;Teste
590;0;0;1;1;1;1;300;Treino
591;1;0;9;0;1;1;100;Treino
592;0;0;1;0;1;1;300;Teste
593;0;0;1;0;1;1;500;Teste
594;0;0;6;1;1;1;100;Treino
595;0;0;1;1;1;1;100;Teste
596;0;0;3;1;1;2;300;Teste
597;0;0;1;0;1;5;1000;Treino
598;0;0;1;0;1;1;300;Treino
599;0;0;1;0;4;1;200;Teste
600;0;0;1;0;1;4;1000;Treino
601;0;1;4;1;0;1;300;Treino
602;0;0;1;0;1;1;100;Teste
603;0;0;1;0;1;1;400;Treino
604;0;0;2;1;1;1;200;Treino
605;0;0;1;1;1;2;1000;Treino
606;0;0;1;0;1;4;400;Teste
607;0;0;1;1;1;1;100;Treino
608;0;0;3;1;1;3;300;Treino
609;0;0;1;1;4;2;700;Treino
610;0;0;1;0;1;1;300;Teste
611;0;0;1;0;1;2;200;Teste
612;0;0;14;0;1;1;200;Teste
613;0;0;8;0;1;1;400;Treino
614;0;0;14;0;1;2;800;Treino
615;0;0;2;1;1;1;100;Treino
616;0;0;1;1;1;1;100;Treino
617;0;0;4;0;1;1;600;Treino
618;0;1;1;0;1;1;100;Teste
619;0;0;9;0;1;1;100;Treino
620;0;0;1;0;1;1;100;Treino
621;0;1;1;0;1;1;400;Treino
