clientes;status;genero;compras;regiao;pagto;qtde;pedido
390;0;0;1;0;1;1;400
391;0;0;1;1;2;1;500
392;1;0;3;1;2;1;500
393;1;1;9;1;1;2;500
394;1;0;2;0;2;1;300
395;0;0;3;0;1;1;100
396;0;0;1;0;2;1;500
397;1;0;1;0;3;1;90
398;1;0;3;1;1;1;600
399;1;0;1;0;1;2;200
400;1;0;1;0;1;1;300
401;0;0;2;0;2;1;500
402;0;0;1;1;3;1;200
403;1;0;1;0;1;1;100
404;0;0;2;0;2;1;300
405;0;1;1;1;2;1;200
406;0;0;1;1;2;1;200
407;0;0;1;0;2;3;300
408;0;0;2;0;2;1;300
409;0;0;3;1;2;1;100
410;0;0;3;0;2;3;400
411;0;0;2;0;2;1;100
412;1;0;3;1;2;1;500
413;0;0;5;0;1;3;1000
414;0;0;1;1;2;2;800
415;0;0;14;0;1;1;200
416;0;0;14;0;1;2;400
417;0;0;2;0;1;1;400
418;0;0;3;1;2;2;700
419;1;0;2;0;1;2;200
420;0;0;1;1;2;2;400
421;0;0;2;0;2;1;200
422;0;0;4;1;2;1;300
423;1;0;1;0;1;1;100
424;0;0;4;1;2;1;200
425;0;0;1;1;2;1;200
426;0;0;1;1;2;1;500
427;0;0;3;0;2;1;300
428;1;0;2;0;2;5;1000
429;1;0;2;1;1;2;600
430;1;0;3;0;2;7;2000
431;0;0;2;0;1;1;300
432;0;0;2;0;1;1;300
433;0;0;1;0;2;1;100
434;0;0;8;0;2;2;800
435;0;0;1;0;1;1;300
436;0;0;2;0;2;1;400
437;1;0;1;0;1;1;200
438;1;0;3;0;2;1;200
439;0;0;1;1;2;2;500
440;0;0;4;0;1;1;600
441;1;0;1;0;1;1;100
442;1;0;3;0;2;3;600
443;0;0;4;0;2;2;300
444;0;0;1;1;2;1;100
445;0;0;1;1;2;1;400
446;1;0;4;0;1;2;900
447;0;0;1;0;2;1;200
448;1;0;1;1;1;1;90
449;1;0;2;0;1;1;500
450;0;0;1;0;2;3;500
451;1;0;8;0;1;4;900
452;0;0;1;0;2;1;500
453;0;0;1;0;2;1;400
454;1;0;1;0;1;2;500
455;0;0;1;0;2;3;300
456;1;0;8;0;1;5;1000
457;0;0;1;0;2;1;400
458;0;0;1;1;1;1;100
459;0;0;1;1;3;1;300
460;1;0;4;1;1;1;200
461;1;0;6;1;1;1;100
462;1;0;1;0;1;30;10000
463;0;0;1;0;2;5;500
464;0;0;1;1;2;3;600
465;1;0;1;1;1;1;100
466;1;0;2;0;1;1;400
467;1;0;1;0;1;1;100
468;0;0;1;1;1;1;200
469;0;0;1;0;2;2;200
470;1;0;6;1;1;1;100
471;1;0;2;0;1;1;400
472;1;0;9;0;1;2;200
473;0;0;1;0;2;1;100
474;0;0;9;0;2;2;200
475;1;0;2;1;2;1;100
476;0;0;1;0;2;1;300
477;1;0;2;0;1;1;100
478;0;0;1;1;2;1;100
479;0;0;1;1;2;1;800
480;0;0;1;0;2;1;100
481;0;0;1;0;2;1;400
482;0;0;7;0;2;1;100
483;0;0;1;0;2;1;600
484;1;0;1;1;2;3;800
485;0;0;2;1;2;1;100
486;0;0;1;0;1;1;100
487;1;0;2;1;1;1;100
488;0;0;2;1;2;1;300
489;0;0;1;1;2;8;1000
490;0;0;1;0;1;1;100
491;1;0;2;0;2;1;100
492;1;0;2;0;3;2;200
493;0;1;2;1;2;1;200
494;0;0;5;1;2;2;500
495;1;0;2;0;3;2;200
496;0;0;1;1;2;1;100
497;0;1;1;0;1;1;400
498;0;0;1;0;1;1;100
499;1;0;3;0;2;7;2000
500;0;0;1;0;2;1;100
501;0;0;1;0;2;1;100
502;0;0;2;1;3;1;300
503;0;0;2;0;1;1;300
504;0;0;2;0;1;2;200
505;0;0;1;0;2;1;100
506;1;0;1;0;2;4;1000
507;0;0;1;0;2;7;600
508;0;1;2;0;1;1;600
509;0;0;1;0;1;9;1000
510;1;0;3;0;2;3;600
511;0;0;4;0;2;1;100
512;0;0;2;0;1;1;100
513;0;0;1;0;2;1;200
514;0;0;1;0;2;1;300
515;0;0;6;1;2;4;1000
516;0;0;2;0;2;1;200
517;0;0;1;0;2;1;300
518;0;0;1;0;2;1;300
519;0;0;1;1;1;2;500
520;1;0;2;0;2;1;300
